Model,Accuracy,Precision,Recall,F1-Score,AUC,CV_AUC
Logistic_Regression,0.7927773000859846,0.7425742574257426,0.25862068965517243,0.3836317135549872,0.769844373345973,0.7758570846543593
Random_Forest,0.7880481513327601,0.7543859649122807,0.22241379310344828,0.34354194407456723,0.768471777856776,0.7723907659780337
Gradient_Boosting,0.7854686156491831,0.6551724137931034,0.29482758620689653,0.40665873959571935,0.757685547260734,0.7610861491845851
SVM,0.7893379191745485,0.7368421052631579,0.2413793103448276,0.36363636363636365,0.7050499664257218,0.7176541923250834
